term,description,active,related_terms,don’t,comment,part_of_speech,changed_on,changed_by,location,translatable,case_sensitive,de-CH,comment_de-CH,don’t_de-CH,fr-CH,comment_fr-CH,don’t_fr-CH,it-CH,comment_it-CH,don’t_it-CH,en-GB,SME,Fiduciary,type,technical_term_contacts,technical_term_addresses,technical_term_subscription_and_checkout
cancel,"Action for button, therefore capitalised",TRUE,OK,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,abbrechen,,,annuler,,,interrompere,,,cancel,,,,,,
carry forward,The definite carry forward of all balance sheet account balances after the year-end closing,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Übertrag,,,report,,,riporto,,,carry forward,,,,,,
carry over,The provisional version of the carry forward of all balance sheet account balances. Can be removed again. Is used to keep track of bank account balances until the year-end closing is done,TRUE,,,,phrasal verb,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Saldovortrag,,,report de soldes,,,saldo a nuovo,,,carry over,,,,,,
cash discount,"If you pay a bill you received very early, you sometimes get a discount. Usually around 2 or 4 %",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Skonto,,,escompte,,,sconto,,,cash discount,,,,,,
chargeable,"If you are allowed to charge something, it is chargeable",TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,verrechenbar,,,facturable,,,fatturabile,,,chargeable,,,,,,
chart of accounts,The place where all the accounting accounts and account groups life. The spine of accounting,TRUE,"account
account classification
account group
accounting account",,,,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Kontenplan,,,plan comptable,,,piano dei conti,,,chart of accounts,,,,,,
checkout,This is the name of the page where a trial user can subscribe to bexio,TRUE,,,,noun,2026-03-20,Nicolas Scherrer,,TRUE,FALSE,Bestellprozess,,,processus de commande,,,processo di ordinazione.,,,checkout,,,,,,
city,Label for input field,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Ort,,,localité,,,luogo,,,city,,,,,,
client,Clients are the customers of the fiduciaries,TRUE,client account (accountant package),,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Mandant,,,mandants,,,clienti,,,client,,,,,,
client account (accountant package),Special packages for fiduciaries that are cheaper and offer less features,TRUE,client,client account (accountant plan),,noun + noun + noun + noun,2026-02-09,Nicolas Scherrer,,TRUE,FALSE,Mandanten-Konto (Treuhandpaket),,,compte mandant (package fiduciaire),,,account cliente (pacchetto contabile),,,client account (accountant package),,,"UI term
Marketing term",,,
clients,Plural of client,TRUE,"client account (accountant package)
client",,,noun,2026-04-23,Nicolas Scherrer,,TRUE,FALSE,Mandanten,,,mandant,,,cliente,,,client,,,,,,
closed,Status. Used for time trackings,TRUE,,,,adjective,2025-09-22,Nicolas Scherrer,,TRUE,FALSE,geschlossen,,,fermé,,,chiuso,,,closed,,,,,,
company,One of the contact types private or company,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Firma,,,entreprise,,,ditta,,,company,,,,,,
company name addition,Label of input field,TRUE,,,,noun + noun + noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Firmennamen-Zusatz,,,nom additionnel de l’entreprise,,,aggiunta al nome aziendale,,,company name addition,,,,,,
complete,1 out of 5 accounting account classifications. Used for structuring the chart of accounts and subsequently the balance sheet and income statement. Complete is used for the year-end closing,TRUE,"account
account classification
account group
accounting account",,,noun,2025-10-03,Nicolas Scherrer,,TRUE,FALSE,Abschluss,,,clôture,,,chiusura,,,complete,,,,,,
connection,The link between a bexio account and a Cockpit account,TRUE,,,,noun,2025-10-20,Nicolas Scherrer,,TRUE,FALSE,Verbindung,,,connexion,,,connessione,,,connection,,,,,,
consideration collected,The form of VAT reporting to the Federal Tax Administration. The reporting forms are agreed consideration and consideration collected,TRUE,,,,noun + adjective,2025-04-30,Nicolas Scherrer,,TRUE,FALSE,vereinnahmtes Entgelt,,,contre-prestation reçue,,,sull’incassato,,,consideration collected,,,,,,
contact,Within the contacts section this is the name of one contact,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Kontakt,,,contact,,,contatto,,,contact,,,,,,
contact No.,"For contact import. Must correspond to the contact import template, otherwise the import will not work. Therefore without hyphen",FALSE,,,,noun + noun,2025-05-16,Nicolas Scherrer,,TRUE,FALSE,Kontakt Nr.,,,nº du contact,,,contatto n.,,,contact No.,,,,,,
contact no.,Label for input field. Contact is the prefix to no. if there is another no. present on the same screen,TRUE,,"contact number, contact No.",,noun + noun,2025-05-13,Nicolas Scherrer,,TRUE,FALSE,Kontakt-Nr.,,Kontaktnr.,nº de contact,,,contatto n.,,,contact no.,,,,,,
contact partner,User assigned to a data record,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Ansprechpartner,,,interlocuteur,,,persona di contatto,,,contact partner,,,,,,
contacts,Name in the navigation for the contacts section,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Kontakte,,,contacts,,,contatti,,,contacts,,,,,,
continue,Used when there are several steps to move on to the next step,TRUE,,,,verb,2025-09-04,Nicolas Scherrer,,TRUE,FALSE,Weiter,,,continuer,,,continua,,,continue,,,,,,
contra account,An accounting posting always consists of 2 accounting accounts. The contra account is only used in the account ledger export. It’s abbreviated with CA,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Gegenkonto,,,compte de contrepartie,,,conto di contropartita,,,contra account,,,,,,
country,Label of input field,TRUE,,,,noun,2025-04-29,Nicolas Scherrer,,TRUE,FALSE,Land,,,pays,,,paese,,,country,,,,,,
credit,"In subscription management, when our users receive a discount from us on their bexio invoice",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Gutschrift,,,crédit,,,accredito,,,credit,,,,,,
credit,The right side in an accounting account,TRUE,"account ledger
accounting record",,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Haben,,,crédit,,,avere,,,credit,,,,,,
credit check,The check swisspeers concludes to define the credit score of their customers,TRUE,,,,noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Bonitätsprüfung,,,vérification de la solvabilité,,,controllo del credito,,,credit check,,,,,,
credit line,Used in bexio Credit for Kamuno. The amount of a loan,TRUE,,,,noun,2025-09-26,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Kreditrahmen,,,ligne de crédit,,,linea di credito,,,credit line,,,,,,
credit notes,Name in the navigation for document type credit note in the sales section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Gutschriften,,,crédits,,,accrediti,,,credit notes,,,,,,
credit rating,Eligibility for a business loan,TRUE,,,,noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Kredit-Rating,,,score de crédit,,,valutazione del credito,,,credit rating,,,,,,
currency,The money that is used in a particular country at a particular time.  We use it in accounting and on documents,TRUE,,,,noun,2025-09-04,Nicolas Scherrer,,TRUE,FALSE,Währung,,,monnaie,,,valuta,,,currency,,,,,,
date,"The creation date of a document. Usually used on quotes, orders, delivery notes, invoices, credit notes, purchase orders, bills, expenses and vendor credit notes.",TRUE,,,,noun,2025-08-12,Nicolas Scherrer,,TRUE,FALSE,Datum,,,date,,,data,,,date,,,,,,
deactivated,VAT rates and accounting accounts can either be active or deactivated,TRUE,,,,adjective,2025-05-13,Nicolas Scherrer,,TRUE,FALSE,deaktiviert,,,désactivé,,,disattivato,,,deactivated,,,,,,
dear,The word we use to address the users in emails or letters,TRUE,,,,adjective,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Grüezi,,,bonjour,,,cara,caro if it’s masculin,,dear,,,,,,
debit,The left side in an accounting account,TRUE,"account ledger
accounting record",,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Soll,,,débit,,,dare,,,debit,,,,,,
delete,"Delete action, is always named the same",TRUE,,,,verb,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,löschen,,,supprimer,,,elimina,,,delete,,,,,,
description,Used in a position on a sales document. Label of free text fields,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Beschreibung,,,description,,,descrizione,,,description,,,,,,
digit (wage statement),The digit on a wage statement. Used as a label in the table of the wage types,TRUE,,,,noun + noun + noun,2025-09-18,Nicolas Scherrer," Payroll",TRUE,FALSE,Ziffer (Lohnausweis),,,chiffre (certificat de salaire),,,cifra (certificato di salario),,,digit (wage statement),,,,,,
discount,A position on sales documents. Can contain a percentage or amount value,TRUE,,,,noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Rabatt,,,rabais,,,ribasso,,,discount,,,,,,
discount type,Used in a discount position on a sales document. It’s the label for the choice between percentage and amount,TRUE,,,,noun + noun,2025-08-19,Nicolas Scherrer,,TRUE,FALSE,Rabatttyp,,,type de rabais,,,tipo di ribasso,,,discount type,,,,,,
document archive,Our white-label solution for a GeBüV certified storage,TRUE,,archive,,noun + noun,2026-02-10,Nicolas Scherrer,,TRUE,FALSE,Dokumenten-Archiv,,,Archive de documents,,,Archivio documenti,,,document archive,,,"UI term
Marketing term",,,
done,Status. Used for time trackings and tasks,TRUE,,,,adjective,2025-09-22,Nicolas Scherrer,,TRUE,FALSE,erledigt,,,terminé,,,eseguito,,,done,,,,,,
draft,"Document status, always capitalised",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Entwurf,,,brouillon,,,bozza,,,draft,,,,,,
due date,The date when an invoice is due is called the due date,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Fälligkeit,,,échéance,,,maturità,,,due date,,,,,,
duplicate,Action of copy and pasting in the same place,TRUE,,,,verb,2025-09-23,Nicolas Scherrer,,TRUE,FALSE,kopieren,Purchase uses duplizieren currently,,copier,Purchase uses dupliquer currently,,copia,Purchase uses duplicate currently,,duplicate,,,,,,
duration,Timeframe of a business loan,TRUE,,,,noun,2025-04-25,Nicolas Scherrer,bexio Credit,TRUE,FALSE,Laufzeit,,,durée,,,durata,,,duration,,,,,,
e-banking,Name of the online banking of the banks. It’s used to differentiate the bexio banking from the e-banking of the banks,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,E-Banking,,,e-banking,,,e-banking,,,e-banking,,,,,,
e.g.,Abbreviation for exempli gratia: a Latin phrase that means “for example”. It can be pronounced as “e.g.” or “for example”,TRUE,,,,,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,z. B.,There is a protected space in between for German,,par ex.,,,ad esempio,,,e.g.,,,,,,
edit,"If something can be modified, call it edit",TRUE,,,,verb,2025-05-27,Nicolas Scherrer,,TRUE,FALSE,bearbeiten,,,modifier,,,modifica,,,edit,,,,,,
effective method,1 of the 2 taxation methods,TRUE,,,,adjective + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,effektive Besteuerung,,,imposition effective,,,metodo effettivo,,,effective method,,,,,,
email,Label of input field,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,E-Mail,Use the Swiss article “das” for German,,e-mail,,,e-mail,,,email,,,,,,
employee,How we refer to team members within Payroll,TRUE,,,,noun,2025-06-03,Nicolas Scherrer," Payroll",TRUE,FALSE,Mitarbeiter,,,employé,,,collaboratore,,,employee,,,,,,
entry,"An entry is a posting in accounting. It can be created under Accounting → Manual entry. Often, it’s called manual entry. Or wrongly referred to as booking",TRUE,,,,noun,2025-08-08,Nicolas Scherrer,,TRUE,FALSE,Buchung,,,écriture,,,registrazione,,,entry,,,,,,
entry date,The date of a posting in accounting. Displayed in the detail view of a posting,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Buchungsdatum,,,date d’écriture comptable,,,data di registrazione,,,entry date,,,,,,
entry type,"Is a type of posting in the accounting journal. Types can be manual entries, invoice, customer account etc.",TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Buchungstyp,,,type de comptabilisation,,,tipo di registrazione,,,entry type,,,,,,
entry types,Plural of entry type,TRUE,,,,noun + noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Buchungstypen,,,types d’écriture,,,tipi di registrazione,,,entry types,,,,,,
exchange rate,"Name of the exchange rate if foreign currencies are used. For German: if space is limited and the context is appropriate, Kurs is also possible",TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Umrechnungskurs,,,taux de change,,,tasso di cambio,,,exchange rate,,,,,,
expense,1 out of 5 accounting account classifications. Used for structuring the chart of accounts and subsequently the balance sheet and income statement,TRUE,"account
account classification
account group
accounting account",,,noun,2025-10-03,Nicolas Scherrer,,TRUE,FALSE,Aufwand,,,charge,,,costi,,,expense,,,,,,
expense,Name of the document,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Aufwendung,,,dépense,,,spesa,,,expense,,,,,,
expenses,Name in the navigation for document type expense in the purchase section,TRUE,,,,noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Aufwendungen,,,dépenses,,,spese,,,expenses,,,,,,
Federal Tax Administration,Name of the tax authority in Switzerland,TRUE,FTA,,,proper noun,2024-01-10,Nicolas Scherrer,,TRUE,FALSE,Eidgenössische Steuerverwaltung,,,Administration fédérale des contributions,,,Amministrazione federale delle contribuzioni,,,Federal Tax Administration,,,,,,
